HOG	OG	Gene Tree Parent Clade	GCA_000005845.2	GCA_000025565.1	GCA_000742755.1
N0.HOG0000150	OG0000074	n1	b0513 _ybbY_ putative purine transporter, b2888 _uacT_ urate_H_+_ symporter		VK055_0823 _pbuX_ xanthine permease family protein
N0.HOG0000151	OG0000074	n3	b2882 _xanQ_ xanthine_H_+_ symporter XanQ, b3654 _xanP_ xanthine_H_+_ symporter XanP	ECL_00106 uracil-xanthine permease	VK055_3454 _yicE_ xanP xanthine NCS2 transporter
N0.HOG0000152	OG0000075	n0	b0555 _rrrD_ lysozyme	ECL_03572 phage lysozyme, ECL_01319 phage lysozyme, ECL_03208 phage lysozyme, ECL_00921 Phage-related lysozyme _muraminidase_, ECL_04419 phage lysozyme, ECL_04921 hypothetical protein	
N0.HOG0000153	OG0000076	n0	b0584 _fepA_ ferric enterobactin outer membrane transporter	ECL_03117 iron complex outermembrane recepter protein	VK055_1934 _fepA_ tonB-dependent siderophore receptor family protein, VK055_3022 tonB-dependent siderophore receptor family protein, VK055_4427 tonB dependent receptor family protein, VK055_5105 _iroN_ tonB-dependent siderophore receptor family protein, VK055_1213 tonB-dependent siderophore receptor family protein
N0.HOG0000154	OG0000077	n1	b1590 _ynfH_ putative menaquinol dehydrogenase	ECL_02191 dmso reductase anchor subunit	VK055_0922 dimethyl sulfoxide reductase_ chain C
N0.HOG0000155	OG0000077	n3	b0896 _dmsC_ dimethyl sulfoxide reductase subunit C	ECL_03862 _dmsC_ anaerobic dimethyl sulfoxide reductase subunit C, ECL_02754 anaerobic dimethyl sulfoxide reductase_ C subunit	VK055_1557 dimethyl sulfoxide reductase_ chain C
N0.HOG0000156	OG0000078	n1	b3020 _ygiS_ putative deoxycholate binding periplasmic protein	ECL_02675 extracellular solute-binding protein	VK055_1974 bacterial extracellular solute-binding_ 5 Middlefamily protein, VK055_1485 _oppA2_ periplasmic oligopeptide-binding protein
N0.HOG0000157	OG0000078	n4	b1243 _oppA_ oligopeptide ABC transporter periplasmic binding protein	ECL_01637 peptide/nickel transport system substrate-binding protein	VK055_0258 _oppA_ periplasmic oligopeptide-binding protein
N0.HOG0000158	OG0000079	n0	b1618 _uidR_ DNA-binding transcriptional repressor UidR	ECL_00056 TetR family transcriptional regulator, ECL_02111 transcriptional regulator_ TetR family	VK055_1406 bacterial regulatory_ tetR family protein, VK055_0316 bacterial regulatory_ tetR family protein, VK055_1077 tetR-family transcriptional regulator, VK055_0738 bacterial regulatory_ tetR family protein
N0.HOG0000159	OG0000080	n1	b4358 _lgoD_ L-galactonate oxidoreductase		VK055_2634 putative L-galactonate oxidoreductase
N0.HOG0000160	OG0000080	n2	b2091 _gatD_ galactitol-1-phosphate 5-dehydrogenase, b2545 _yphC_ putative zinc-binding dehydrogenase YphC, b1776 _ydjL_ putative zinc-binding dehydrogenase YdjL, b1774 _ydjJ_ putative zinc-binding dehydrogenase YdjJ		VK055_5058 S-adenosyl-L-homocysteine hydrolase_ NAD bindingdomain protein
N0.HOG0000161	OG0000081	n1	b1814 _sdaA_ L-serine deaminase I	ECL_01490 L-serine ammonia-lyase 1	VK055_0120 L-serine ammonia-lyase
N0.HOG0000162	OG0000081	n3	b4471 _tdcG_ L-serine deaminase III, b2797 _sdaB_ L-serine deaminase II	ECL_04130 L-serine dehydratase 1	VK055_4374 L-serine ammonia-lyase
N0.HOG0000163	OG0000082	n1	b1818 _manY_ mannose-specific PTS enzyme IIC component	ECL_01486 PTS system_ mannose-specific IIC component	VK055_0116 _manY_ manY
N0.HOG0000164	OG0000082	n3	b3139 _agaC_ galactosamine-specific PTS enzyme IIC component	ECL_04521 N-acetylgalactosamine-specific PTS system transporter subunit IIC	VK055_3070 _manY2_ manY, VK055_2629 PTS system sorbose-specific iic component familyprotein
N0.HOG0000165	OG0000083	n0	b1853 _yebK_ DNA-binding transcriptional repressor YebK	ECL_01445 DNA-binding transcriptional regulator HexR, ECL_01924 hypothetical protein, ECL_04111 putative transcriptional regulator	VK055_0079 helix-turn-helix domain_ rpiR family protein, VK055_2817 helix-turn-helix domain_ rpiR family protein, VK055_2640 helix-turn-helix domain_ rpiR family protein
N0.HOG0000166	OG0000084	n1	b2713 _hydN_ putative electron transport protein HydN	ECL_04052 electron transport protein	VK055_4466 putative electron transport protein HydN
N0.HOG0000167	OG0000084	n3	b3573 _ysaA_ putative electron transport protein YsaA, b2205 _napG_ ferredoxin-type protein NapG	ECL_00193 putative hydrogenase_ 4Fe-4S ferredoxin-type component	VK055_3532 putative electron transport protein HydN
N0.HOG0000168	OG0000085	n0	b2246 _yfaV_ putative transporter YfaV	ECL_04869 major facilitator family transporter, ECL_00752 putative 4-hydroxyphenylacetate permease	VK055_4864 major Facilitator Superfamily protein, VK055_0790 major Facilitator Superfamily protein, VK055_1200 major Facilitator Superfamily protein, VK055_2657 _hpaX_ 4-hydroxyphenylacetate permease
N0.HOG0000169	OG0000086	n1	b2561 _yfhH_ putative DNA-binding transcriptional regulator YfhH	ECL_03900 putative DNA-binding transcriptional regulator	VK055_4615 helix-turn-helix domain_ rpiR family protein
N0.HOG0000170	OG0000086	n4	b4089 _alsR_ DNA-binding transcriptional repressor AlsR		VK055_0445 helix-turn-helix domain_ rpiR family protein
N0.HOG0000171	OG0000086	n5	b2427 _murR_ DNA-binding transcriptional dual regulator MurR		VK055_3450 helix-turn-helix domain_ rpiR family protein
N0.HOG0000172	OG0000087	n1	b2465 _tktB_ transketolase 2	ECL_03762 transketolase	VK055_4711 _tkt2_ transketolase
N0.HOG0000173	OG0000087	n3	b2935 _tktA_ transketolase 1	ECL_04248 transketolase	VK055_1336 _tkt_ transketolase, VK055_4125 _tkt3_ transketolase
N0.HOG0000174	OG0000088	n1	b3750 _rbsC_ ribose ABC transporter membrane subunit	ECL_05131 ribose transport system permease protein	VK055_3318 branched-chain amino acid transport system / permease component family protein
N0.HOG0000175	OG0000088	n3	b2546 _yphD_ putative ABC transporter membrane subunit YphD, b4086 _alsC_ D-allose ABC transporter membrane subunit	ECL_03804 _rbsC_ ribose transport system permease protein	VK055_2685 branched-chain amino acid transport system / permease component family protein
N0.HOG0000176	OG0000089	n1	b2833 _ygdR_ DUF903 domain-containing lipoprotein YgdR	ECL_04154 hypothetical protein	VK055_4282 putative lipoprotein
N0.HOG0000177	OG0000089	n3	b2809 _ygdI_ DUF903 domain-containing lipoprotein YgdI	ECL_04135 hypothetical protein	VK055_0575 putative lipoprotein, VK055_4351 putative lipoprotein
N0.HOG0000178	OG0000090	n1	b4195 _ulaC_ L-ascorbate specific PTS enzyme IIA component	ECL_00589 hypothetical protein	VK055_2875 _ulaC_ ulaC
N0.HOG0000179	OG0000090	n3	b2934 _cmtB_ mannitol-specific PTS enzyme IIA component CmtB	ECL_03646 ascorbate-specific PTS system enzyme IIA	VK055_2202 phosphoenolpyruvate-dependent sugar phosphotransferase system_ EIIA 2 family protein, VK055_0747 phosphoenolpyruvate-dependent sugar phosphotransferase system_ EIIA 2 family protein
N0.HOG0000180	OG0000091	n0	b3553 _ghrB_ glyoxylate reductase	ECL_04872 D-isomer specific 2-hydroxyacid dehydrogenase family protein, ECL_00214 D-isomer specific 2-hydroxyacid dehydrogenase_ NAD-binding protein	VK055_3554 _ghrB_ glyoxylate/hydroxypyruvate reductase B, VK055_1897 S-adenosyl-L-homocysteine hydrolase_ NAD bindingdomain protein, VK055_2302 D-isomer specific 2-hydroxyacid dehydrogenase_ catalytic domain protein, VK055_0864 _gyaR_ glyoxylate reductase
N0.HOG0000181	OG0000092	n0	b3662 _nepI_ purine ribonucleoside exporter	ECL_00044 ribonucleoside transporter, ECL_01525 major facilitator transporter	VK055_3401 major Facilitator Superfamily protein, VK055_1275 major Facilitator Superfamily protein, VK055_1126 major Facilitator Superfamily protein, VK055_0827 sugar _and other_ transporter family protein
N0.HOG0000182	OG0000093	n0	b4052 _dnaB_ replicative DNA helicase	ECL_01306 replicative DNA helicase, ECL_03583 putative replicative DNA helicase, ECL_00398 putative DNA helicase, ECL_B085 replicative DNA helicase, ECL_00310 replicative DNA helicase	VK055_3032 _dnaB_ replicative DNA helicase
N0.HOG0000183	OG0000094	n0	b4373 _rimI_ protein N-acetyltransferase RimI	ECL_00784 ribosomal-protein-alanine N-acetyltransferase	VK055_2602 _rimI_ ribosomal-protein-alanine acetyltransferase, VK055_2637 acetyltransferase family protein, VK055_3356 hypothetical protein, VK055_0885 acetyltransferase family protein, VK055_0633 acetyltransferase family protein
N0.HOG0000184	OG0000095	n0		ECL_00248 phosphotransferase system PTS_ lactose/cellobiose-specific IIB subunit, ECL_00050 phosphotransferase system_ lactose/cellobiose-specific IIB subunit	VK055_3106 PTS system_ Lactose/Cellobiose specific IIB subunit, VK055_2816 PTS system_ Lactose/Cellobiose specific IIB subunit, VK055_0665 PTS system_ Lactose/Cellobiose specific IIB subunit, VK055_4441 _gmuB_ oligo-beta-mannoside-specific phosphotransferaseenzyme IIB component, VK055_3411 PTS system_ Lactose/Cellobiose specific IIB subunit
N0.HOG0000185	OG0000096	n0		ECL_00091 P pilus assembly protein_ porin PapC, ECL_01281 _fimD_ outer membrane usher protein, ECL_02380 outer membrane usher protein LpfC, ECL_02932 Outer membrane usher protein lpfC, ECL_04445 outer membrane usher protein, ECL_01410 fimbrial biogenesis outer membrane usher protein, ECL_00064 putative outer membrane usher protein FimD	
N0.HOG0000186	OG0000097	n0		ECL_02933 hypothetical protein, ECL_00089 P pilus assembly protein_ pilin FimA, ECL_02934 hypothetical protein, ECL_02930 hypothetical protein, ECL_02382 putative major type 1 subunit fimbrin	VK055_4245 fimbrial family protein, VK055_4530 fimbrial family protein
N0.HOG0000187	OG0000098	n0		ECL_04251 putative IS4 family transposase, ECL_04291 putative transposase, ECL_01066 IS4 family transposase, ECL_00744 putative transposase, ECL_00342 IS4 family transposase, ECL_04767 putative transposase, ECL_04732 putative transposase	
N0.HOG0000188	OG0000099	n0		ECL_00780 diguanylate cyclase, ECL_02159 diguanylate cyclase, ECL_00393 diguanylate cyclase with PAS/PAC sensor, ECL_02492 diguanylate cyclase	VK055_2610 diguanylate cyclase domain protein, VK055_1588 diguanylate cyclase domain protein, VK055_1475 diguanylate cyclase domain protein
N0.HOG0000189	OG0000100	n0		ECL_01098 N-acyl-L-amino acid amidohydrolase; aminoacylase, ECL_01872 amidohydrolase	VK055_1521 amidohydrolase family protein, VK055_2021 amidohydrolase family protein, VK055_1153 amidohydrolase family protein, VK055_0371 amidohydrolase family protein, VK055_0580 hypothetical protein
N0.HOG0000190	OG0000101	n0		ECL_04074 iron complex transport system ATP-binding protein, ECL_02674 iron complex transport system ATP-binding protein	VK055_0307 ABC transporter family protein, VK055_2923 ABC transporter family protein, VK055_0334 ABC transporter family protein, VK055_2028 ABC transporter family protein, VK055_4435 ABC transporter family protein
N0.HOG0000191	OG0000102	n0			VK055_4691 hypothetical protein, VK055_1941 hypothetical protein, VK055_2625 hypothetical protein, VK055_2668 hypothetical protein, VK055_3156 hypothetical protein, VK055_4859 hypothetical protein, VK055_2102 hypothetical protein
N0.HOG0000192	OG0000103	n0	b4709 _insA9_ IS1 family repressor TnpA, b0022 _insA1_ IS1 family protein InsA, b1894 _insA5_ IS1 family protein InsA, b3444 _insA6_ IS1 family protein InsA	ECL_A249 IS1 transposase orfA, ECL_03478 IS1 transposase orfA	
N0.HOG0000193	OG0000104	n1	b1393 _paaF_ putative 2_3-dehydroadipyl-CoA hydratase	ECL_02148 enoyl-CoA hydratase-isomerase	VK055_1036 putative enoyl-CoA hydratase_ mitochondrial
N0.HOG0000194	OG0000104	n3	b0036 _caiD_ crotonobetainyl-CoA hydratase, b2919 _scpB_ methylmalonyl-CoA decarboxylase	ECL_01753 enoyl-CoA hydratase	
N0.HOG0000195	OG0000105	n1	b0061 _araD_ L-ribulose-5-phosphate 4-epimerase AraD	ECL_00857 L-ribulose-5-phosphate 4-epimerase	VK055_2514 _araD_ L-ribulose-5-phosphate 4-epimerase
N0.HOG0000196	OG0000105	n3	b4198 _ulaF_ L-ribulose-5-phosphate 4-epimerase UlaF	ECL_00592 L-ribulose-5-phosphate 4-epimerase	VK055_2872 _ulaF_ L-ribulose-5-phosphate 4-epimerase ulaF
N0.HOG0000197	OG0000106	n0	b0150 _fhuA_ ferrichrome outer membrane transporter/phage receptor	ECL_01520 TonB-dependent siderophore receptor, ECL_00954 ferrichrome outer membrane transporter	VK055_0148 tonB-dependent siderophore receptor family protein, VK055_5116 _fyuA_ tonB-dependent siderophore receptor family protein, VK055_2400 fhuA outer membrane protein receptor for ferrichrome_ colicin M_ and phages T1_ T5_ and phi80
N0.HOG0000198	OG0000107	n1	b3234 _degQ_ periplasmic serine endoprotease	ECL_04615 serine protease	VK055_3844 peptidase Do family protein
N0.HOG0000199	OG0000107	n3	b0161 _degP_ periplasmic serine endoprotease DegP	ECL_00965 serine endoprotease	VK055_2389 _htrA_ degP
N0.HOG0000200	OG0000108	n1	b0186 _ldcC_ lysine decarboxylase 2	ECL_00989 L-lysine decarboxylase	VK055_2366 ldcC
N0.HOG0000201	OG0000108	n3	b4117 _adiA_ arginine decarboxylase_ degradative, b4131 _cadA_ lysine decarboxylase 1		VK055_2051 _cadA_ cadA
N0.HOG0000202	OG0000109	n1	b2870 _ygeW_ putative carbamoyltransferase YgeW	ECL_00669 ornithine carbamoyltransferase	VK055_2800 _argF_ ornithine carbamoyltransferase
N0.HOG0000203	OG0000109	n3	b4254 _argI_ ornithine carbamoyltransferase ArgI, b0273 _argF_ ornithine carbamoyltransferase ArgF	ECL_00678 phage ornithine carbamoyltransferase 2_ chain F	
N0.HOG0000204	OG0000110	n0	b1027 _insE4_ IS3 element protein InsE, b0373 _insE2_ IS3 element protein InsE, b0298 _insE1_ IS3 element protein InsE, b0540 _insE3_ IS3 element protein InsE, b2088 _insE5_ IS3 element protein InsE		VK055_0441 transposase family protein
N0.HOG0000205	OG0000111	n0	b0305 _rclR_ DNA-binding transcriptional activator RclR	ECL_01524 AraC family transcriptional regulator	VK055_3436 cupin domain protein, VK055_0467 bacterial regulatory helix-turn-helix_ AraC family protein, VK055_0402 bacterial regulatory helix-turn-helix_ AraC family protein, VK055_0829 bacterial regulatory helix-turn-helix_ AraC family protein
N0.HOG0000206	OG0000112	n1	b0344 _lacZ_ beta-galactosidase	ECL_03691 beta-D-galactosidase	
N0.HOG0000207	OG0000112	n2	b3076 _ebgA_ evolved beta-D-galactosidase subunit alpha, b1617 _uidA_ beta-glucuronidase	ECL_01221 beta galactosidase	VK055_0887 _lacZ_ beta-galactosidase
N0.HOG0000208	OG0000113	n0	b2860 _insD4_ IS2 insertion element protein InsB, b3045 _insD5_ IS2 insertion element protein InsB, b1402 _insD2_ IS2 insertion element protein InsB, b0361 _insD1_ IS2 element protein, b1996 _insD3_ IS2 insertion element protein InsB, b4273 _insD6_ IS2 insertion element protein InsB		
N0.HOG0000209	OG0000114	n1	b1786 _dgcJ_ diguanylate cyclase DgcJ, b1535 _dgcZ_ diguanylate cyclase DgcZ, b0834 _dgcI_ putative diguanylate cyclase DgcI	ECL_01987 putative diguanylate cyclase	
N0.HOG0000210	OG0000114	n4	b0385 _dgcC_ diguanylate cyclase DgcC	ECL_01143 diguanylate cyclase AdrA	
N0.HOG0000211	OG0000115	n1	b0440 _hupB_ DNA-binding protein HU-beta	ECL_01198 DNA-binding protein HU-beta	VK055_2151 _hupB_ DNA-binding protein HU-&beta_ NS1
N0.HOG0000212	OG0000115	n3	b4000 _hupA_ DNA-binding protein HU-alpha	ECL_00261 transcriptional regulator HU subunit alpha	VK055_3092 _hupA_ DNA-binding protein HU-&alpha
N0.HOG0000213	OG0000116	n1	b0450 _glnK_ nitrogen regulatory protein PII-2	ECL_01211 glutamine synthetase activity regulation protein	VK055_2139 _glnK_ GlnK
N0.HOG0000214	OG0000116	n3	b2553 _glnB_ nitrogen regulatory protein PII-1	ECL_03890 nitrogen regulatory protein P-II 1	VK055_4623 _glnB_ regulatory protein P-II for glutamine synthetase
N0.HOG0000215	OG0000117	n1	b3124 _garK_ glycerate 2-kinase 1		VK055_3930 glycerate kinase I
N0.HOG0000216	OG0000117	n2	b0514 _glxK_ glycerate 2-kinase 2	ECL_04119 glycerate 2-kinase	VK055_0793 glycerate kinase I, VK055_4385 glycerate kinase I
N0.HOG0000217	OG0000118	n0	b1156 _tfaE_ putative tail fiber assembly protein TfaE, b0561 _tfaD_ putative tail fiber assembly protein TfaD, b1373 _tfaR_ putative tail fiber assembly protein TfaR, b1546 _tfaQ_ putative tail fiber assembly protein TfaQ	ECL_02831 putative tail fiber protein, ECL_04408 hypothetical protein	
N0.HOG0000218	OG0000119	n0	b3515 _gadW_ DNA-binding transcriptional dual regulator GadW, b1499 _ydeO_ DNA-binding transcriptional dual regulator YdeO, b3516 _gadX_ DNA-binding transcriptional dual regulator GadX, b4116 _adiY_ DNA-binding transcriptional activator AdiY, b0566 _envY_ DNA-binding transcriptional activator EnvY, b0564 _appY_ DNA-binding transcriptional activator AppY		
N0.HOG0000219	OG0000120	n1	b0577 _ybdG_ miniconductance mechanosensitive channel YbdG	ECL_03162 MscS mechanosensitive ion channel	VK055_1996 mechanosensitive ion channel family protein
N0.HOG0000220	OG0000120	n3	b1330 _ynaI_ small conductance mechanosensitive channel YnaI	ECL_02262 putative inner membrane protein	VK055_1947 mechanosensitive ion channel family protein
N0.HOG0000221	OG0000121	n0	b0586 _entF_ apo-serine activating enzyme	ECL_03954 hypothetical protein, ECL_03114 _entF_ enterobactin synthase subunit F	VK055_5120 _irp1_ methyltransferase domain protein, VK055_5121 _irp2_ amino acid adenylation domain protein, VK055_1931 _entF_ amino acid adenylation domain protein
N0.HOG0000222	OG0000122	n0	b0594 _entE_ 2_3-dihydroxybenzoate-AMP ligase	ECL_03107 _entE_ enterobactin 2_3-dihydroxybenzoate-AMP ligase/S-dihydroxybenzoyltransferase	VK055_1924 _entE_ _2_3-dihydroxybenzoyl_adenylate synthase, VK055_5117 _ybtE_ 2_3-dihydroxybenzoate-AMP ligase, VK055_0786 AMP-binding enzyme family protein, VK055_1335 AMP-binding enzyme family protein
N0.HOG0000223	OG0000123	n1	b4354 _btsT_ pyruvate_H_+_ symporter	ECL_00747 carbon starvation protein CstA	VK055_2663 carbon starvation CstA family protein
N0.HOG0000224	OG0000123	n3	b0598 _cstA_ pyruvate transporter CstA	ECL_03102 carbon starvation protein CstA	VK055_1920 carbon starvation CstA family protein
N0.HOG0000225	OG0000124	n1	b4353 _yjiX_ PF04328 family protein YjiX	ECL_00746 hypothetical protein	VK055_2664 hypothetical protein
N0.HOG0000226	OG0000124	n3	b4512 _ybdD_ PF04328 family protein YbdD	ECL_03101 hypothetical protein	VK055_1918 hypothetical protein
N0.HOG0000227	OG0000125	n0	b0607 _uspG_ universal stress protein G	ECL_00478 conserved hypothetical protein, ECL_03079 UspA domain-containing protein	VK055_1742 universal stress protein UP12, VK055_0912 universal stress protein UP12, VK055_1881 universal stress protein UP12
N0.HOG0000228	OG0000126	n1	b0839 _dacC_ D-alanyl-D-alanine carboxypeptidase DacC	ECL_02879 D-alanyl-D-alanine carboxypeptidase fraction C	VK055_1655 _dacC2_ penicillin-binding protein 6
N0.HOG0000229	OG0000126	n3	b0632 _dacA_ D-alanyl-D-alanine carboxypeptidase DacA	ECL_03063 D-alanyl-D-alanine carboxypeptidase fraction A	VK055_1868 _dacC_ penicillin-binding protein 6
N0.HOG0000230	OG0000127	n1	b0754 _aroG_ 3-deoxy-7-phosphoheptulonate synthase_ Phe-sensitive	ECL_02983 phospho-2-dehydro-3-deoxyheptonate aldolase	VK055_1768 3-deoxy-7-phosphoheptulonate synthase
N0.HOG0000231	OG0000127	n3	b1704 _aroH_ 3-deoxy-7-phosphoheptulonate synthase_ Trp-sensitive	ECL_02394 phospho-2-dehydro-3-deoxyheptonate aldolase	VK055_0294 3-deoxy-7-phosphoheptulonate synthase
N0.HOG0000232	OG0000128	n1	b0819 _ldtB_ L_D-transpeptidase LdtB	ECL_02904 hypothetical protein	VK055_1678 putative L_D-transpeptidase YbiS
N0.HOG0000233	OG0000128	n3	b1990 _ldtA_ L_D-transpeptidase LdtA	ECL_03325 ErfK/YbiS/YcfS/YnhG family protein	VK055_5141 putative L_D-transpeptidase ErfK/SrfK
N0.HOG0000234	OG0000129	n1	b0844 _ybjI_ 5-amino-6-_5-phospho-D-ribitylamino_uracil phosphatase	ECL_02874 Cof-like hydrolase	VK055_1651 HAD hydrolase_ IIB family protein
N0.HOG0000235	OG0000129	n3	b0822 _ybiV_ sugar phosphatase YbiV	ECL_02897 Cof-like hydrolase	VK055_1671 HAD hydrolase_ IIB family protein
N0.HOG0000236	OG0000130	n1	b0903 _pflB_ pyruvate formate-lyase	ECL_02750 formate acetyltransferase 1	VK055_1553 _pflB2_ formate acetyltransferase
N0.HOG0000237	OG0000130	n3	b3114 _tdcE_ 2-ketobutyrate formate-lyase/pyruvate formate-lyase 4	ECL_04508 keto acid formate lyase	VK055_0164 _pflB_ formate acetyltransferase
N0.HOG0000238	OG0000131	n0	b0936 _ssuA_ aliphatic sulfonate ABC transporter periplasmic binding protein	ECL_02703 alkanesulfonate transporter substrate-binding subunit	VK055_4363 ABC transporter_ substrate-binding_ aliphatic sulfonates family protein, VK055_4373 ABC transporter_ substrate-binding_ aliphatic sulfonates family protein, VK055_0352 ABC transporter_ substrate-binding_ aliphatic sulfonates family protein, VK055_1515 _ssuA_ nitrate transport protein
N0.HOG0000239	OG0000132	n1	b0981 _etk_ protein-tyrosine kinase Etk	ECL_03427 cryptic autophosphorylating protein tyrosine kinase Etk	VK055_5017 _etk_ tyrosine-protein kinase etk
N0.HOG0000240	OG0000132	n3	b2060 _wzc_ protein-tyrosine kinase Wzc	ECL_01022 tyrosine kinase, ECL_03383 tyrosine kinase	
N0.HOG0000241	OG0000133	n1	b0983 _gfcE_ putative exopolysaccharide export lipoprotein GfcE	ECL_03429 polysaccharide export protein	VK055_5015 _wza_ putative outer membrane lipoprotein Wza
N0.HOG0000242	OG0000133	n3	b2062 _wza_ outer membrane polysaccharide export protein Wza	ECL_01020 putative polysaccharide export protein, ECL_03385 polysaccharide export protein	
N0.HOG0000243	OG0000134	n1	b0997 _torA_ trimethylamine N-oxide reductase 1		VK055_1891 _dmsA3_ dimethyl sulfoxide reductase_ chain A
N0.HOG0000244	OG0000134	n2	b1872 _torZ_ trimethylamine N-oxide reductase 2, b3551 _bisC_ biotin sulfoxide reductase	ECL_00222 molybdopterin guanine dinucleotide-containing S/N-oxide reductase	VK055_3561 biotin sulfoxide reductase
N0.HOG0000245	OG0000135	n2	b1093 _fabG_ 3-oxoacyl-[acyl-carrier-protein] reductase FabG	ECL_02543 3-ketoacyl-_acyl-carrier-protein_ reductase	
N0.HOG0000246	OG0000135	n3	b2426 _ucpA_ oxidoreductase UcpA	ECL_04854 3-ketoacyl-_acyl-carrier-protein_ reductase, ECL_00386 3-oxoacyl-[acyl-carrier protein] reductase	
N0.HOG0000247	OG0000136	n1	b1113 _ldtC_ L_D-transpeptidase LdtC	ECL_02523 LysM domain/ErfK/YbiS/YcfS/YnhG family protein	VK055_1353 putative L_D-transpeptidase YcfS
N0.HOG0000248	OG0000136	n3	b1678 _ldtE_ L_D-transpeptidase LdtE	ECL_02364 ErfK/YbiS/YcfS/YnhG family protein	VK055_0325 putative L_D-transpeptidase YcfS
N0.HOG0000249	OG0000137	n0	b1184 _umuC_ DNA polymerase V catalytic protein	ECL_B105 hypothetical protein, ECL_00457 hypothetical protein, ECL_A067 SOS mutagenesis and repair protein UmuC, ECL_02250 _umuC_ DNA polymerase V UmuC	VK055_1277 SOS mutagenesis and repair
N0.HOG0000250	OG0000138	n1	b1223 _narK_ nitrate_nitrite antiporter NarK	ECL_01621 _narK_ nitrite extrusion protein	VK055_0236 _narK_ narK MFS nitrate/nitrite antiporter
N0.HOG0000251	OG0000138	n3	b1469 _narU_ nitrate/nitrite transporter NarU	ECL_01894 _narU_ nitrate/nitrite transporter	VK055_0604 _narK2_ narK MFS nitrate/nitrite antiporter
N0.HOG0000252	OG0000139	n1	b1224 _narG_ nitrate reductase A subunit alpha	ECL_01622 _narG_ nitrate reductase 1_ alpha subunit	VK055_0238 nitrate reductase_ alpha subunit
N0.HOG0000253	OG0000139	n3	b1468 _narZ_ nitrate reductase Z subunit alpha	ECL_01893 _narZ_ nitrate reductase 2_ alpha subunit	VK055_0603 nitrate reductase_ alpha subunit
N0.HOG0000254	OG0000140	n1	b1467 _narY_ nitrate reductase Z subunit beta	ECL_01892 _narY_ nitrate reductase 2_ beta subunit	VK055_0602 _narH2_ nitrate reductase_ beta subunit
N0.HOG0000255	OG0000140	n3	b1225 _narH_ nitrate reductase A subunit beta	ECL_01623 _narH_ nitrate reductase 1_ beta subunit	VK055_0239 _narH_ nitrate reductase_ beta subunit
N0.HOG0000256	OG0000141	n1	b1226 _narJ_ nitrate reductase 1 molybdenum cofactor assembly chaperone	ECL_01624 _narJ_ nitrate reductase 1_ delta subunit	VK055_0240 _narJ_ nitrate reductase molybdenum cofactor assembly chaperone
N0.HOG0000257	OG0000141	n3	b1466 _narW_ NarW_ putative private chaperone for NarZ nitrate reductase subunit	ECL_01891 _narW_ nitrate reductase 2_ delta subunit	VK055_0601 _narJ2_ nitrate reductase molybdenum cofactor assembly chaperone
N0.HOG0000258	OG0000142	n1	b1465 _narV_ nitrate reductase Z subunit gamma	ECL_01890 _narV_ nitrate reductase 2_ gamma subunit	VK055_0600 _narI2_ respiratory nitrate reductase_ gamma subunit
N0.HOG0000259	OG0000142	n3	b1227 _narI_ nitrate reductase A subunit gamma	ECL_01625 _narI_ nitrate reductase 1_ gamma subunit	VK055_0242 _narI_ respiratory nitrate reductase_ gamma subunit
N0.HOG0000260	OG0000143	n1	b2042 _galF_ UTP_glucose-1-phosphate uridylyltransferase_ low activity	ECL_03365 _galF_ UTP-glucose-1-phosphate uridylyltransferase	VK055_5012 _galF_ regulatory protein GalF
N0.HOG0000261	OG0000143	n3	b1236 _galU_ UTP--glucose-1-phosphate uridylyltransferase	ECL_01632 UTP-glucose-1-phosphate uridylyltransferase subunit GalU	VK055_0250 _galU_ UTP-glucose-1-phosphate uridylyltransferase
N0.HOG0000262	OG0000144	n1	b1296 _puuP_ putrescine_H_+_ symporter PuuP	ECL_02223 putative amino acid-amine transport protein	VK055_1455 _puuP_ putrescine importer
N0.HOG0000263	OG0000144	n3	b2014 _plaP_ putrescine_H_+_ symporter PlaP	ECL_03336 hypothetical protein	VK055_5048 _puuP2_ putrescine importer
N0.HOG0000264	OG0000145	n1	b2662 _gabT_ 4-aminobutyrate aminotransferase GabT		VK055_2311 _gabT_ 4-aminobutyrate transaminase
N0.HOG0000265	OG0000145	n2	b1302 _puuE_ 4-aminobutyrate aminotransferase PuuE	ECL_02231 PLP-dependent GABA aminotransferase, ECL_04821 4-aminobutyrate aminotransferase	VK055_3645 _gabT2_ 4-aminobutyrate transaminase
N0.HOG0000266	OG0000146	n1	b1474 _fdnG_ formate dehydrogenase N subunit alpha	ECL_01902 formate dehydrogenase alpha subunit	VK055_0617 formate dehydrogenase_ alpha subunit
N0.HOG0000267	OG0000146	n3	b3894 _fdoG_ formate dehydrogenase O subunit alpha	ECL_05090 formate dehydrogenase alpha subunit	VK055_3282 formate dehydrogenase_ alpha subunit
N0.HOG0000268	OG0000147	n1	b3893 _fdoH_ formate dehydrogenase O subunit beta	ECL_05091 formate dehydrogenase beta subunit	VK055_3283 _fdxH_ formate dehydrogenase_ beta subunit
N0.HOG0000269	OG0000147	n3	b1475 _fdnH_ formate dehydrogenase N subunit beta	ECL_01903 formate dehydrogenase beta subunit	VK055_0618 _fdxH2_ formate dehydrogenase_ beta subunit
